GO	NS	name	p_uncorrected
...GO:0009617	BP	response to bacterium         	0.044
....GO:1902224	BP	ketone body metabolic process 	0.044
...GO:0017144	BP	drug metabolic process        	0.044
..GO:0051707	BP	response to other organism    	0.044
....GO:0046951	BP	ketone body biosynthetic process	0.044
...GO:0043207	BP	response to external biotic stimulus	0.044
...GO:0044283	BP	small molecule biosynthetic process	0.044
.....GO:0006551	BP	leucine metabolic process     	0.044
...GO:0006952	BP	defense response              	0.044
...GO:0006082	BP	organic acid metabolic process	0.044
....GO:0043436	BP	oxoacid metabolic process     	0.044
..GO:0009605	BP	response to external stimulus 	0.044
...GO:0006520	BP	cellular amino acid metabolic process	0.044
.....GO:0019752	BP	carboxylic acid metabolic process	0.044
.GO:0051704	BP	multi-organism process        	0.044
....GO:0009081	BP	branched-chain amino acid metabolic process	0.044
...GO:0046950	BP	cellular ketone body metabolic process	0.044
...GO:0098542	BP	defense response to other organism	0.044
....GO:1901605	BP	alpha-amino acid metabolic process	0.044
....GO:0042742	BP	defense response to bacterium 	0.044
....GO:1901570	BP	fatty acid derivative biosynthetic process	0.044
...GO:1901568	BP	fatty acid derivative metabolic process	0.044
..GO:0009607	BP	response to biotic stimulus   	0.044
..GO:0048046	CC	apoplast                      	0.044
...GO:0070013	CC	intracellular organelle lumen 	0.044
....GO:0005759	CC	mitochondrial matrix          	0.044
..GO:0043233	CC	organelle lumen               	0.044
.GO:0031974	CC	membrane-enclosed lumen       	0.044
..GO:0043167	MF	ion binding                   	0.0416
.....GO:0004419	MF	hydroxymethylglutaryl-CoA lyase activity	0.044
......GO:0019201	MF	nucleotide kinase activity    	0.044
.....GO:0019205	MF	nucleobase-containing compound kinase activity	0.044
..GO:0016829	MF	lyase activity                	0.044
......GO:0005507	MF	copper ion binding            	0.044
....GO:0016776	MF	phosphotransferase activity, phosphate group as acceptor	0.044
...GO:0016830	MF	carbon-carbon lyase activity  	0.044
.....GO:0004017	MF	adenylate kinase activity     	0.044
....GO:0016833	MF	oxo-acid-lyase activity       	0.044
