Phi2,Gene,50,51,52,53,54,55,56,57,58,59,60
,AT1G32500,-0.254312684,-0.329016344,-0.288660253,-0.3839016,-0.315325864,-0.427409732,-0.352211019,-0.479116264,-0.369172526,-0.492909146,-0.386090721
,AT2G29180,-0.162896226,-0.166149921,-0.1713603,-0.174654247,-0.184788553,-0.194597818,-0.191745555,-0.211207108,-0.209321295,-0.202056834,-0.220316536
,AT3G08920,-0.025333366,-0.036315385,-0.030833204,-0.064604777,-0.040415875,-0.088215043,-0.051801518,-0.10772018,-0.060630443,-0.128346299,-0.08220804
,AT3G14420,-0.071367662,-0.086757803,-0.071230779,-0.087513753,-0.069827744,-0.121453826,-0.070850228,-0.179678996,-0.073230892,-0.236308661,-0.096038793
,AT4G33010,-0.052758825,-0.06920112,-0.060289148,-0.110056004,-0.065513572,-0.173547585,-0.073109191,-0.201350873,-0.081285831,-0.199204882,-0.104805163
,AT5G53170,-0.015125696,-0.017581912,-0.022422195,-0.036905638,-0.023770169,-0.054541607,-0.030364352,-0.083977569,-0.038345771,-0.109721635,-0.048162696
QESV,Gene,50,51,52,53,54,55,56,57,58,59,60
,AT1G32500,0.035655598,0.137317659,0.053221957,0.136561747,0.067618056,0.024699778,0.117038023,-0.11252316,0.153515753,-0.205725966,0.163288859
,AT2G29180,-0.009118428,0.081162434,0.013776541,0.158767539,0.038843327,0.194832216,0.083857558,0.175408092,0.13493919,0.135253814,0.17641609
,AT3G08920,0.033568552,0.153729001,0.082138568,0.262304272,0.193551936,0.244416819,0.296842372,0.199880075,0.341378085,0.142023342,0.350902165
,AT3G14420,0.04722716,0.044158037,0.02011258,0.082189065,0.014490555,0.265244191,0.051319805,0.339015886,0.113293736,0.315167928,0.263028388
,AT4G33010,0.00622206,0.145886188,0.018100565,0.454290349,0.065674505,0.61023193,0.170374924,0.491998735,0.284897131,0.341264597,0.399073143
,AT5G53170,0.011701528,0.036480674,0.034489832,0.031003636,0.026037771,-0.028830175,0.013511338,-0.073195318,-0.007816627,-0.080234817,-0.01987182
QI,Gene,50,51,52,53,54,55,56,57,58,59,60
,AT1G32500,0.138388262,0.047584358,0.042858658,0.012285878,0,0.011309909,0,0.018305695,0,0.023053778,0.000181511
,AT2G29180,0.093852533,0.083982591,0.080004871,0.129922968,0.066643844,0.187118475,0.086397141,0.228526929,0.106391038,0.266612921,0.130924879
,AT3G08920,0.138970378,0.017387308,0.093104449,0.003509338,0.034129807,0.011551307,0.010809992,0.017582719,0.007908243,0.02851432,0.006962685
,AT3G14420,0.166535568,0.084411003,0.101956965,0.015364408,0.056745722,0.016756222,0.03717236,0.09951479,0.015491717,0.317562769,0.015637733
,AT4G33010,0.177496599,0.017784469,0.047881747,0,0.009040313,0.026040616,0.00295164,0.08600948,0,0.214174486,0.006022594
,AT5G53170,0,0,0,0,0,0,0,0,0,0,0
