Phi2,Gene,51,52,53,54,55,56,57,58,59,60,61
,AT1G44575,-0.045506595,-0.047809912,-0.054125916,-0.052237914,-0.050305967,-0.058253636,-0.037263148,-0.062246546,-0.018265632,-0.064011622,0.009270313
,AT1G65230,-0.127602258,-0.102728777,-0.160122701,-0.109841289,-0.177962234,-0.116909253,-0.199248722,-0.121916136,-0.18013115,-0.133379642,-0.194005997
,AT1G71500,-0.086098656,-0.071706523,-0.07677849,-0.059924262,-0.064735515,-0.063271524,-0.033654092,-0.055036256,-0.005858022,-0.058623339,0.007770247
,AT1G79040,-0.139119565,-0.101959966,-0.186389978,-0.122375109,-0.207837075,-0.14757119,-0.210378969,-0.167788414,-0.17748715,-0.189643794,-0.157844637
,AT2G26550,-0.213152036,-0.184786904,-0.256629954,-0.196458498,-0.30229119,-0.222919089,-0.329294738,-0.245228447,-0.324384437,-0.282875073,-0.339029802
,AT3G56040,-0.108902719,-0.078737465,-0.156634019,-0.101878528,-0.185989229,-0.134951551,-0.18674074,-0.146309425,-0.174758086,-0.1652573,-0.155459292
QESV,Gene,51,52,53,54,55,56,57,58,59,60,61
,AT1G44575,-0.083118806,-0.020233898,-0.249325003,-0.033154116,-0.481116664,-0.05055452,-0.757107252,-0.091799701,-0.984376984,-0.174746496,-1.156067115
,AT1G65230,-0.080623415,-0.059484086,-0.197841288,-0.078107218,-0.408214295,-0.092907355,-0.561605069,-0.130645378,-0.619949427,-0.195330151,-0.610291205
,AT1G71500,-0.028630536,-0.016216428,-0.160942464,-0.030273653,-0.42397007,-0.052280617,-0.617357442,-0.124638741,-0.700520497,-0.236269704,-0.719949141
,AT1G79040,-0.118224872,-0.072961124,-0.288560143,-0.103565785,-0.601326279,-0.146714077,-0.899447105,-0.222453,-1.115272643,-0.345811581,-1.23358598
,AT2G26550,-0.136737911,-0.213209709,-0.064165777,-0.196513054,-0.067146132,-0.129747798,-0.140854013,-0.08742031,-0.201820913,-0.034831024,-0.240287538
,AT3G56040,-0.032595119,-0.02342632,-0.171090562,-0.019389736,-0.459197733,-0.073368703,-0.734173907,-0.123043147,-0.904994468,-0.215734351,-0.987455474
QI,Gene,51,52,53,54,55,56,57,58,59,60,61
,AT1G44575,0.025810888,0,0.052197741,0.008179399,0.087120091,0.022752058,0.113868866,0.054836476,0.115523281,0.094238223,0.099415377
,AT1G65230,0.016086777,0.031051234,0.004283435,0.015625824,0.017209105,0.006828159,0.013714023,0.013440512,0.008503341,0.015497361,0.004750405
,AT1G71500,0,0,0,0,0,0,0,0,0,0,0
,AT1G79040,0,0,0,0,0,0,0,0,0,0,0
,AT2G26550,0,0,0,0,0,0,0,0,0.034451404,0,0.104867626
,AT3G56040,0.009753006,0.029742096,0,0.008724017,0,0.002908643,0,0,0,0,0
