Phi2,Gene,71,72,73,74,75,76,77,78,79,80
,AT1G80380,-0.147593965,-0.096707757,-0.151020618,-0.095195795,-0.160192699,-0.101487567,-0.180283675,-0.105322633,-0.164789866,-0.098563811
,AT1G03160,-0.226670886,-0.150934283,-0.230670303,-0.149711078,-0.234588502,-0.139130659,-0.191435455,-0.150062594,-0.22024995,-0.148829148
,AT1G67700,-0.118157142,-0.067107277,-0.11982364,-0.066825238,-0.110611681,-0.067294023,,-0.078913743,-0.131745956,-0.077281047
,AT2G29180,-0.230945336,-0.271863729,-0.230055439,-0.273978059,-0.230804128,-0.285627549,,-0.293313321,-0.217977952,-0.308511621
,AT4G33010,-0.189971278,-0.173401304,-0.179644574,-0.176423262,-0.176348872,-0.184639542,-0.182565658,-0.190831283,-0.190205301,-0.198844541
,AT5G42270,-0.166939187,-0.390866637,-0.205145328,-0.100756696,-0.204733932,-0.163413878,-0.211136162,-0.206922059,-0.237382237,-0.224392085
,AT1G14345,-0.205768054,-0.120525806,-0.28215594,-0.093060075,-0.149825789,-0.119486435,-0.151960108,-0.1010434,-0.23913942,-0.106686264
QESV,Gene,71,72,73,74,75,76,77,78,79,80
,AT1G80380,0.029487311,0.33902483,0.031891693,0.320252585,0.033468537,0.338769165,0.0278109,0.348044347,0.028392099,0.36303502
,AT1G03160,-0.089947816,0.090025124,-0.079584502,0.081363835,-0.075328133,0.085113413,-0.093712356,0.094079022,-0.087631612,0.107768863
,AT1G67700,-0.00153428,0.218032937,0.000228696,0.221512085,-0.007939004,0.217736765,,0.224611665,-0.001086729,0.229627642
,AT2G29180,-0.040190092,0.138054157,-0.036953047,0.128986302,-0.044723098,0.116621767,,0.115745454,-0.051132986,0.116599486
,AT4G33010,-0.003719408,0.371398349,-0.003874735,0.358021759,-0.012179056,0.352747091,-0.023371047,0.358615108,-0.023566147,0.378522631
,AT5G42270,-0.012328505,0.288787417,0.070184944,0.319697905,-0.006488905,0.346445862,-0.018406056,0.358225427,0.07336268,0.374826421
,AT1G14345,-0.038238821,0.157384682,-0.035901472,0.138161626,-0.037059772,0.151773712,-0.04529447,0.146213673,-0.036671638,0.166196568
QI,Gene,71,72,73,74,75,76,77,78,79,80
,AT1G80380,0.259052779,0.120523833,0.240281603,0.128590193,0.242224023,0.121541747,0.221642688,0.125922252,0.234166379,0.112076158
,AT1G03160,0.19776644,0.112976297,0.198017665,0.130726446,0.204145378,0.137578748,0.204577537,0.144220133,0.211257163,0.144220458
,AT1G67700,0.216910009,0.13087109,0.213818239,0.140249696,0.22168902,0.141899104,0.223200553,0.135797474,0.234255398,0.129958645
,AT2G29180,0.284636416,0.204985359,0.282519403,0.201141831,0.279185952,0.194476752,0.266633037,0.18758847,0.267892216,0.179088553
,AT4G33010,0.33948344,0.149872503,0.322676572,0.16105063,0.314763455,0.161404882,0.330194193,0.178301386,0.34780929,0.178719675
,AT5G42270,0.251362489,0.212073467,0.271763459,0.237994493,0.323634474,0.278349294,0.365302274,0.309486916,0.375007295,0.358033787
,AT1G14345,0.226367115,0.187654067,0.224948859,0.193160287,0.212110438,0.204398195,0.229536681,0.205943133,0.231321515,0.194322528
