Parent	Child
206	183
208	184
204	185
223	186
206	187
218	188
206	189
207	190
213	191
206	192
205	193
212	194
205	195
212	196
213	197
206	198
206	199
214	200
211	201
205	202
213	203
235	204
226	205
231	206
233	207
231	208
226	209
231	210
229	211
226	212
227	213
229	214
227	215
228	216
226	217
265	218
227	219
226	220
229	221
226	222
244	223
227	224
231	225
247	226
246	227
257	228
252	229
246	231
246	233
246	234
262	235
247	236
252	238
255	239
247	240
247	241
247	242
246	243
259	244
271	245
264	246
264	247
264	248
268	249
264	250
264	251
266	252
264	253
272	254
279	255
264	256
271	257
263	258
277	259
271	260
266	261
267	262
338	263
284	264
321	265
284	266
339	267
281	268
284	269
289	270
288	271
291	272
299	273
289	274
288	275
305	276
284	277
288	279
306	280
293	281
291	282
291	284
292	285
305	286
292	288
295	289
305	290
304	291
308	292
312	293
303	294
308	295
320	296
307	297
422	299
308	300
311	301
422	302
317	303
326	304
417	305
323	306
325	307
314	308
315	309
317	310
336	311
349	312
325	313
325	314
331	315
353	316
325	317
329	318
324	319
345	320
383	321
369	322
345	323
332	324
333	325
333	326
337	327
336	328
332	329
349	330
343	331
353	332
356	333
346	334
339	336
340	337
366	338
374	339
354	340
352	341
357	343
350	344
353	345
356	346
352	347
365	348
390	349
362	350
369	351
364	352
363	353
360	354
368	355
376	356
379	357
372	358
372	359
377	360
421	361
375	362
376	363
373	364
372	365
372	366
374	367
373	368
421	369
398	370
382	371
385	372
385	373
394	374
396	375
393	376
387	377
390	378
389	379
398	380
396	381
404	382
394	383
422	384
422	385
393	386
422	387
392	388
422	389
392	390
411	391
402	392
422	393
419	394
422	395
408	396
404	397
407	398
400	399
412	400
410	401
415	402
410	403
414	404
415	405
412	406
420	407
414	408
417	409
422	410
422	411
422	412
422	413
422	414
422	415
422	416
422	417
422	418
422	419
422	420
422	421
