term_id	annotation_genes	my_method	dhac
88001	0.889064034588	['837996', '844378', '816394', '817467', '829438', '834232']	6	[19, 20, 21, 22, 23, 24]	[20, 21, 22, 23, 24]
11823	0.754823197778	['824770', '817196', '844245', '843491', '841033', '842830']	6	[5]	[5]
162873	0.616085011255	['839433', '838259', '817620', '819107', '820041', '830754']	6	[35, 36, 37, 38, 39, 40]	[36, 37, 38, 40]
77463	0.741546584233	['838851', '841558', '843903', '820827', '822517', '827307', '828884']	7	[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[18, 19, 22, 23, 24]
23520	0.0269597560892	['838362', '841467', '841892', '843110', '843827', '816692', '829966']	7	[8, 9, 10, 11]	[8, 9]
163287	0.776198565514	['839433', '838259', '843095', '817499', '817620', '819107', '820041']	7	[35, 36, 37, 38, 39, 40, 41, 42]	[38, 40, 41]
23688	0.860113304487	['843095', '821143', '820041', '828884', '3770591']	5	[8, 9, 10, 11, 12]	[10]
160956	0.760605440231	['839433', '838259', '816545', '817499', '819107', '820041']	6	[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[40, 41, 42, 43, 45]
164066	0.748010579052	['839433', '838259', '843095', '817499', '819107', '820041']	6	[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[38, 40, 41, 42, 43, 45]
162216	0.186269663463	['842833', '843110', '843827', '814643', '816692', '827727', '829966']	7	[35, 36]	[35]
180024	0.256663134997	['841467', '841892', '843110', '843827', '816692', '827727']	6	[41, 42, 43, 44]	[42, 43]
23466	0.851471281853	['837996', '843095', '821143', '820041', '828884', '3770591']	6	[8, 9, 10, 11]	[10]
162143	0.201665385208	['843110', '827727', '843827', '816692', '829966', '838779', '842833', '814643']	8	[35]	[35]
35613	0.732130289489	['816545', '817499', '817620', '821143', '820041']	5	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13, 14]
182355	0.745553687852	['839433', '839566', '838259', '816545', '817499']	5	[42, 43, 44, 45, 46, 47, 48]	[43, 44, 45]
34860	0.851582951769	['837996', '843095', '817620', '821143', '820041']	5	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12]
23362	0.0112178801165	['838362', '841467', '842833', '843110', '843827', '816692', '829966']	7	[8, 9, 10]	[8, 9]
45369	0.785935727562	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '834232']	11	[12, 13, 14, 15, 16, 17, 18]	[13]
34859	0.764137102783	['839566', '843095', '816545', '817499', '817620', '821143', '820041']	7	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13, 14]
34695	0.815344806987	['837996', '843095', '817620', '821143', '820041', '3770591']	6	[10, 11, 12, 13, 14, 15, 16, 17]	[12]
35132	0.763007167356	['843095', '816545', '817499', '817620', '821143', '820041']	6	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
35125	0.719878018416	['816545', '817499', '817620', '821143', '820041', '3770591']	6	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
34620	0.735747132371	['839566', '843095', '816545', '817499', '817620', '821143', '820041', '3770591']	8	[10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
183766	0.77155354503	['839433', '839566', '837996', '838259', '816545', '817499']	6	[43, 44, 45, 46, 47, 48]	[43, 44, 45]
183438	0.791866649918	['839433', '839566', '837996', '838259', '843095', '816545', '817499', '819107', '820041']	9	[43, 44, 45, 46]	[43, 45]
40123	0.776373233614	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820741', '834232']	10	[11, 12, 13, 14, 15, 16, 17, 18]	[13]
45097	0.733910870388	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471', '834232']	14	[12, 13, 14, 15, 16, 17]	[13]
40393	0.768460515182	['843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741']	8	[11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
40120	0.784283431184	['839566', '837974', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741']	10	[11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
186258	0.452785403551	['838250', '838672', '844230', '818316', '820827']	5	[45, 46, 47, 48, 49, 50]	[46, 47, 49]
33577	0.756458824946	['839566', '837996', '843095', '816545', '817499', '817620', '821143', '820041', '3770591']	9	[10, 11, 12]	[12]
34875	0.741047359524	['843095', '816545', '817499', '817620', '821143', '820041', '3770591']	7	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
28558	0.683726496301	['839566', '837974', '838455', '816545', '817499', '817620', '818343', '820741', '828884', '833471']	10	[9, 10, 11, 12]	[11]
40865	0.730455552124	['837974', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '833471']	9	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13]
33480	-0.0211949858477	['838362', '841892', '842833', '814643', '816692', '829966']	6	[10, 11]	[10]
187568	0.184315176948	['839392', '837040', '839930', '841920', '814643', '816651', '824524', '829966', '830128', '830699', '836393']	11	[47, 48, 49]	[49]
23051	-0.0172935027986	['843110', '841467', '843827', '838362', '816692', '829966', '844230', '842833', '816651', '839642']	10	[8]	[8]
24620	0.844496480529	['837996', '843095', '821143', '820041', '3770591']	5	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[10, 11, 12]
39880	0.73136466466	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471']	13	[11, 12, 13, 14, 15, 16, 17]	[12, 13]
39901	0.719153383462	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820741', '3770591', '833471', '834232']	13	[11, 12, 13, 14, 15, 16, 17]	[13]
35800	0.718916602035	['816545', '817499', '821143', '820041', '3770591']	5	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[12, 13, 15, 16, 17]
19318	0.0762689499682	['838362', '842833', '843110', '816692', '829966']	5	[7, 8, 9, 10]	[8, 9, 10]
