	Here is the top 12 terms we found. 															
	Each term can be described by three photosynthetic phenotypes. 															
	"The first is Phi2, the second is QESV and the last is QI."															
																
	NO.1	term_id:88001	"annotation_gene:['AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']"	time_point:68--82												
Phi2	Gene	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82
	AT1G14345	-0.105625455	-0.174359608	-0.105873346	-0.205768054	-0.120525806	-0.28215594	-0.093060075	-0.149825789	-0.119486435	-0.151960108	-0.1010434	-0.23913942	-0.106686264	-0.161276493	-0.098671907
	AT1G80380	-0.068625701	-0.131999721	-0.085768543	-0.147593965	-0.096707757	-0.151020618	-0.095195795	-0.160192699	-0.101487567	-0.180283675	-0.105322633	-0.164789866	-0.098563811	-0.150457733	-0.098127926
	AT2G18790	-0.243551264	-0.339028686	-0.262998402	-0.341892143	-0.252491417	-0.287546598	-0.264921667	-0.333601207	-0.261318618	-0.305006259	-0.255882494	-0.319102299	-0.258673085	-0.306718947	-0.247719683
	AT2G29180	-0.257549902	-0.235051385	-0.271585768	-0.230945336	-0.271863729	-0.230055439	-0.273978059	-0.230804128	-0.285627549		-0.293313321	-0.217977952	-0.308511621	-0.257732532	-0.307700054
	AT4G33010	-0.17067275	-0.177396643	-0.168925876	-0.189971278	-0.173401304	-0.179644574	-0.176423262	-0.176348872	-0.184639542	-0.182565658	-0.190831283	-0.190205301	-0.198844541	-0.185532523	-0.190105744
	AT5G42270	-0.108788482	-0.110995372	-0.26824949	-0.166939187	-0.390866637	-0.205145328	-0.100756696	-0.204733932	-0.163413878	-0.211136162	-0.206922059	-0.237382237	-0.224392085	-0.195898092	-0.194429715
QESV	Gene	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82
	AT1G14345	0.177165099	-0.029949987	0.145072897	-0.038238821	0.157384682	-0.035901472	0.138161626	-0.037059772	0.151773712	-0.04529447	0.146213673	-0.036671638	0.166196568	-0.032974679	0.169613244
	AT1G80380	0.332575556	0.041506695	0.321513572	0.029487311	0.33902483	0.031891693	0.320252585	0.033468537	0.338769165	0.0278109	0.348044347	0.028392099	0.36303502	0.030336021	0.374805782
	AT2G18790	0.231207034	0.666147773	0.211266462	-0.19968315	0.205372027	-0.206943816	0.184447799	-0.209151134	0.196291538	-0.213483155	0.183221213	-0.212057618	0.2077237	-0.204240866	0.197117758
	AT2G29180	0.158176719	-0.026591605	0.141971621	-0.040190092	0.138054157	-0.036953047	0.128986302	-0.044723098	0.116621767		0.115745454	-0.051132986	0.116599486	-0.039979212	0.112482887
	AT4G33010	0.396284405	0.001902319	0.366005715	-0.003719408	0.371398349	-0.003874735	0.358021759	-0.012179056	0.352747091	-0.023371047	0.358615108	-0.023566147	0.378522631	-0.012621788	0.396805047
	AT5G42270	0.270844946	-0.002712507	0.276049871	-0.012328505	0.288787417	0.070184944	0.319697905	-0.006488905	0.346445862	-0.018406056	0.358225427	0.07336268	0.374826421	0.028563332	0.401128329
QI	Gene	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82
	AT1G14345	0.166806127	0.208986619	0.187877354	0.226367115	0.187654067	0.224948859	0.193160287	0.212110438	0.204398195	0.229536681	0.205943133	0.231321515	0.194322528	0.246532118	0.189476304
	AT1G80380	0.128853632	0.274039127	0.131416601	0.259052779	0.120523833	0.240281603	0.128590193	0.242224023	0.121541747	0.221642688	0.125922252	0.234166379	0.112076158	0.2368093	0.116091661
	AT2G18790	0.131832608	0.158960752	0.13952648	0.15204442	0.148315515	0.169229944	0.14858854	0.168978342	0.153674862	0.166915173	0.158213129	0.166128706	0.153241545	0.175696526	0.161917638
	AT2G29180	0.201536628	0.297413821	0.217796734	0.284636416	0.204985359	0.282519403	0.201141831	0.279185952	0.194476752	0.266633037	0.18758847	0.267892216	0.179088553	0.26093369	0.171164675
	AT4G33010	0.164267662	0.353540659	0.190949268	0.33948344	0.149872503	0.322676572	0.16105063	0.314763455	0.161404882	0.330194193	0.178301386	0.34780929	0.178719675	0.359607401	0.190547116
	AT5G42270	0.124354689	0.222291786	0.173287227	0.251362489	0.212073467	0.271763459	0.237994493	0.323634474	0.278349294	0.365302274	0.309486916	0.375007295	0.358033787	0.420316221	0.359993674
																
	NO.2	term_id:11823	"annotation_gene:['AT3G56040', 'AT2G26550', 'AT1G79040', 'AT1G71500', 'AT1G44575', 'AT1G65230']"	time_point:54--63												
Phi2	Gene	54	55	56	57	58	59	60	61	62	63					
	AT3G56040	-0.101878528	-0.185989229	-0.134951551	-0.18674074	-0.146309425	-0.174758086	-0.1652573	-0.155459292	-0.176843695	-0.152625009					
	AT2G26550	-0.196458498	-0.30229119	-0.222919089	-0.329294738	-0.245228447	-0.324384437	-0.282875073	-0.339029802	-0.310661151	-0.364372226					
	AT1G79040	-0.122375109	-0.207837075	-0.14757119	-0.210378969	-0.167788414	-0.17748715	-0.189643794	-0.157844637	-0.204200848	-0.12331022					
	AT1G71500	-0.059924262	-0.064735515	-0.063271524	-0.033654092	-0.055036256	-0.005858022	-0.058623339	0.007770247	-0.060355477	0.014669575					
	AT1G44575	-0.052237914	-0.050305967	-0.058253636	-0.037263148	-0.062246546	-0.018265632	-0.064011622	0.009270313	-0.061221389	0.021365625					
	AT1G65230	-0.109841289	-0.177962234	-0.116909253	-0.199248722	-0.121916136	-0.18013115	-0.133379642	-0.194005997	-0.131501967	-0.193879562					
QESV	Gene	54	55	56	57	58	59	60	61	62	63					
	AT3G56040	-0.019389736	-0.459197733	-0.073368703	-0.734173907	-0.123043147	-0.904994468	-0.215734351	-0.987455474	-0.355110086	-1.040892698					
	AT2G26550	-0.196513054	-0.067146132	-0.129747798	-0.140854013	-0.08742031	-0.201820913	-0.034831024	-0.240287538	-0.022908592	-0.261392896					
	AT1G79040	-0.103565785	-0.601326279	-0.146714077	-0.899447105	-0.222453	-1.115272643	-0.345811581	-1.23358598	-0.470383725	-1.273860494					
	AT1G71500	-0.030273653	-0.42397007	-0.052280617	-0.617357442	-0.124638741	-0.700520497	-0.236269704	-0.719949141	-0.327595613	-0.694127914					
	AT1G44575	-0.033154116	-0.481116664	-0.05055452	-0.757107252	-0.091799701	-0.984376984	-0.174746496	-1.156067115	-0.265139687	-1.255861766					
	AT1G65230	-0.078107218	-0.408214295	-0.092907355	-0.561605069	-0.130645378	-0.619949427	-0.195330151	-0.610291205	-0.263484132	-0.579551665					
QI	Gene	54	55	56	57	58	59	60	61	62	63					
	AT3G56040	0.008724017	0	0.002908643	0	0	0	0	0	0	0					
	AT2G26550	0	0	0	0	0	0.034451404	0	0.104867626	0	0.147172392					
	AT1G79040	0	0	0	0	0	0	0	0	0	0					
	AT1G71500	0	0	0	0	0	0	0	0	0	0					
	AT1G44575	0.008179399	0.087120091	0.022752058	0.113868866	0.054836476	0.115523281	0.094238223	0.099415377	0.127972251	0.077090794					
	AT1G65230	0.015625824	0.017209105	0.006828159	0.013714023	0.013440512	0.008503341	0.015497361	0.004750405	0.020343926	0					
																
	NO.3	term_id:87603	"annotation_gene:['AT1G03160', 'AT1G14345', 'AT1G80380', 'AT2G18790', 'AT2G29180', 'AT4G33010', 'AT5G42270']"	time_point:68--81												
Phi2	Gene	68	69	70	71	72	73	74	75	76	77	78	79	80	81	
	AT1G03160	-0.149835367	-0.203335466	-0.15226502	-0.226670886	-0.150934283	-0.230670303	-0.149711078	-0.234588502	-0.139130659	-0.191435455	-0.150062594	-0.22024995	-0.148829148	-0.195425993	
	AT1G14345	-0.105625455	-0.174359608	-0.105873346	-0.205768054	-0.120525806	-0.28215594	-0.093060075	-0.149825789	-0.119486435	-0.151960108	-0.1010434	-0.23913942	-0.106686264	-0.161276493	
	AT1G80380	-0.068625701	-0.131999721	-0.085768543	-0.147593965	-0.096707757	-0.151020618	-0.095195795	-0.160192699	-0.101487567	-0.180283675	-0.105322633	-0.164789866	-0.098563811	-0.150457733	
	AT2G18790	-0.243551264	-0.339028686	-0.262998402	-0.341892143	-0.252491417	-0.287546598	-0.264921667	-0.333601207	-0.261318618	-0.305006259	-0.255882494	-0.319102299	-0.258673085	-0.306718947	
